city,job_title,company_name,location,summary,salary
New+York,"Associate Data Scientist, Premium Analytics",Spotify,"New York, NY 10011 (Chelsea area)","You will work with a global team of world-class analysts, data scientists, business managers, marketers, and engineers....",Na
New+York,Data Scientist Summer Intern,WeWork,"New York, NY","Comfortable with quantitative analysis, statistical techniques, data mining. Use large, complex data sets to monitor office demand across different product...",Na
New+York,Analyst | Data Analysis,New York City OFFICE OF MANAGEMENT & BUDGET,"Manhattan, NY",Data AnalysisJOB TITLE:. Provide assistance to assess data to address research questions and provide the data feed to assist other groups with their research...,Na
New+York,"Data Engineer, Baseball Operations",New York Yankees,"Bronx, NY","2+ years of experience with data profiling, data modeling, and data pipeline development. Prepare, clean, format analytical datasets for processing by data...",Na
New+York,Assistant Research Scientist,Health Research Incorporated,"Albany, NY",Analyzing and summarizing project data; The Assistant Research Scientist will generate data on the population density of vector ticks and prevalence of...,Na
New+York,"Competitions Programs Specialist, Talent Programs and Events",Google,"New York, NY 10011 (Chelsea area)","Manage the ongoing reporting and data analysis including; Detailed tracking of metrics, thorough quantitative and qualitative analysis, development of...",Na
New+York,Geospatial Data Scientist,New York City DEPARTMENT OF FINANCE,"Manhattan, NY","The Property Valuation & Mapping Unit in the Department of Finance is seeking a Geospatial Data Scientist or Analyst to provide imagery and GIS processing,...",Na
New+York,Summer Internship – Data Scientist,Lazard Ltd.,"New York, NY","The Summer Data Scientist Intern will have the opportunity to work closely with data scientists, investment bankers and senior management across the Firm....",Na
New+York,ASSOCIATE DATA SCIENTIST,"Foot Locker, Inc.","New York, NY","The Associate Data Scientist assists the team in developing predictive models, mining data sets for insights, ensuring the success of assigned projects, and...",Na
New+York,Life Scientist,Leidos,"Greenport, NY",Proficiency in using basic word processing and data management software is required. The mission is carried out in close collaboration with USDA-ARS and USDA...,Na
New+York,Interns@swissre 2019 - Data Scientist Intern,Swiss Re,"Armonk, NY 10504",Data & text mining and information visualization. We are looking for data scientist students who have a passion for technology and desire to establish skills...,Na
